season	contestant	name	age	hometown	was_winner
1	Akashia	Eric Flint	24	Cleveland, Ohio	0
1	BeBe Zahara Benet	Nea Marshall Kudi Ngwa	28	Minneapolis, Minnesota	1
1	Jade	David Sotomayor	25	Chicago, Illinois	0
1	Nina Flowers	Jorge Luis Flores Sanchez	34	Bayamón, Puerto Rico	0
1	Ongina	Ryan Ong Palao	26	Los Angeles, California	0
1	Rebecca Glasscock	Javier Rivera	26	Fort Lauderdale, Florida	0
1	Shannel	Bryan Watkins	29	Las Vegas, Nevada	0
1	Tammie Brown	Keith Glen Schubert	29	Long Beach, California	0
1	"Victoria ""Porkchop"" Parker"	Victor Bowling	39	Raleigh, North Carolina	0
2	Jessica Wild	José David Sierra	29	San Juan, Puerto Rico	0
2	Jujubee	Airline Inthyrath	25	Boston, Massachusetts	0
2	Morgan McMichaels	Thomas White	28	Mira Loma, California	0
2	Mystique Summers Madison	Donte Sims	25	Bedford, Texas	0
2	Nicole Paige Brooks	Brian Christopher Pryor	36	Atlanta, Georgia	0
2	Pandora Boxx	Michael Steck	37	Rochester, New York	0
2	Raven	David Petruschin	30	Riverside, California	0
2	Sahara Davenport	Antoine Ashley	25	New York, New York	0
2	Shangela Laquifa Wadley	D.J. Pierce	28	Los Angeles, California	0
2	Sonique	Kylie Love	26	Atlanta, Georgia	0
2	Tatianna	Joey Santolini	21	Falls Church, Virginia	0
2	Tyra Sanchez	James Ross	21	Orlando, Florida	1
3	Alexis Mateo	Alexis Mateo Pacheco	30	St. Petersburg, Florida	0
3	Carmen Carrera	Cristopher Roman 	25	Elmwood Park, New Jersey	0
3	Delta Work	Gabriel Villarreal	34	Norwalk, California	0
3	India Ferrah	Shane Richardson	23	Dayton, Ohio	0
3	Manila Luzon	Karl Westerberg	28	New York City, New York	0
3	Mariah	Elijah Kelly	29	Atlanta, Georgia	0
3	Mimi Imfurst	Braden Chapman	27	New York City, New York	0
3	Phoenix	Brian Trapp	29	Atlanta, Georgia	0
3	Raja	Sutan Amrull	36	Los Angeles, California	1
3	Shangela	D.J. Pierce	29	Los Angeles, California	0
3	Stacy Layne Matthews	Ron Jones	25	Back Swamp, North Carolina	0
3	Venus D-Lite	Adam Guerra	26	Los Angeles, California	0
3	Yara Sofia	Gabriel Burgos Ortiz	26	Manati, Puerto Rico	0
4	Alisa Summers	Alex Hernandez	23	Tampa, Florida	0
4	Chad Michaels	Chad Michaels	40	San Diego, California	0
4	DiDa Ritz	Xavier Hairson	25	Chicago, Illinois	0
4	Jiggly Caliente	William Kong	30	Queens, New York	0
4	Kenya Michaels	Omar Olivera Bonilla	21	Dorado, Puerto Rico	0
4	Lashauwn Beyond	Jamall Jackson	21	Fort Lauderdale, Florida	0
4	Latrice Royale	Timothy Wilcots	39	South Beach, Florida	0
4	Madame LaQueer	Carlos Melendez	29	Carolina, Puerto Rico	0
4	Milan	Dwayne Cooper	36	New York City, New York	0
4	Phi Phi O'Hara	Jaremi Carey	25	Chicago, Illinois	0
4	Sharon Needles	Aaron Coady	29	Pittsburgh, Pennsylvania	1
4	The Princess	Adam Biga	31	Chicago, Illinois	0
4	Willam	Willam Belli	29	Los Angeles, California	0
5	Alaska	Justin Honard	27	Pittsburgh, Pennsylvania	0
5	Alyssa Edwards	Justin Johnson	32	Mesquite, Texas	0
5	Coco Montrese	Martin Cooper	37	Las Vegas, Nevada	0
5	Detox	Matthew Sanderson	27	Los Angeles, California	0
5	Honey Mahogany	Alpha Mulugeta	29	San Francisco, California	0
5	Ivy Winters	Dustin Winters	22	Greenville, Michigan	0
5	Jade Jolie	Josh Green	25	Gainesville, Florida	0
5	Jinkx Monsoon	Jerick Hoffer	24	Seattle, Washington	1
5	Lineysha Sparx	Andy Trinidad	24	San Juan, Puerto Rico	0
5	Monica Beverly Hillz	Juan DeJesus Anaya	27	Owensboro, Kentucky	0
5	Penny Tration	Tony Cody	39	Cincinnati, Ohio	0
5	Roxxxy Andrews	Michael Feliciano	28	Orlando, Florida	0
5	Serena ChaCha	Myron Morgan	21	Tallahassee, Florida	0
5	Vivienne Pinay	Michael Donehoo	26	New York City, New York	0
6	Adore Delano	Danny Noriega	23	Azusa, California	0
6	April Carrión	Jason Carrión	24	Guaynabo, Puerto Rico	0
6	BenDeLaCreme	Benjamin Putnam	31	Seattle, Washington	0
6	Bianca Del Rio	Roy Haylock	37	New Orleans, Louisiana	1
6	Courtney Act	Shane Jenek	31	West Hollywood, California	0
6	Darienne Lake	Gregory Meyer	41	Rochester, New York	0
6	Gia Gunn	Scotty Ichikawa	23	Chicago, Illinois	0
6	Joslyn Fox	Patrick Joslyn	26	Worcester, Massachusetts	0
6	Kelly Mantle	Kelly Mantle	36	Los Angeles, California	0
6	Laganja Estranja	Jay Jackson	24	Van Nuys, California	0
6	Magnolia Crawford	Reynolds Engelhart	28	Seattle, Washington	0
6	Milk	Dan Donigan	25	New York, New York	0
6	Trinity K. Bonet	Joshua Jones	22	Atlanta, Georgia	0
6	Vivacious	Osmond Vacious	40	New York, New York	0
7	Ginger Minj	Joshua Eads Brown	29	Orlando, Florida	0
7	Jaidynn Diore Fierce	Christopher Williams	25	Nashville, Tennessee	0
7	Jasmine Masters	Martell Robinson	37	Los Angeles, California	0
7	Kandy Ho	Frank Diaz	28	Cayey, Puerto Rico	0
7	Katya	Brian McCook	32	Boston, Massachusetts	0
7	Kennedy Davenport	Reuben Asberry Jr.	33	Dallas, Texas	0
7	Max	Max Malanaphy	22	Hudson, Wisconsin	0
7	Miss Fame	Kurtis Dam-Mikkelsen	29	New York, New York	0
7	Mrs. Kasha Davis	Ed Popil	43	Rochester, New York	0
7	Pearl	Matthew James Lent	23	Brooklyn, New York	0
7	Sasha Belle	Jared Breakenridge	28	Iowa City, Iowa	0
7	Tempest DuJour	Patrick Holt	46	Tucson, Arizona	0
7	Trixie Mattel	Brian Firkus	24	Milwaukee, Wisconsin	0
7	Violet Chachki	Jason Dardo	22	Atlanta, Georgia	1
8	Acid Betty	Jamin Ruhren	37	Brooklyn, New York	0
8	Bob the Drag Queen	Christopher Caldwell	29	New York, New York	1
8	Chi Chi DeVayne	Zavion Davenport	29	Shreveport, Louisiana	0
8	Cynthia Lee Fontaine	Carlos Diaz	34	Austin, Texas	0
8	Dax ExclamationPoint	Dax Martin	31	Savannah, Georgia	0
8	Derrick Barry	Derrick Barry	32	Las Vegas, Nevada	0
8	Kim Chi	Sang-Young Shin	27	Chicago, Illinois	0
8	Laila McQueen	Tyler Devlin	22	Gloucester, Massachusetts	0
8	Naomi Smalls	Davis Heppenstall	21	Redlands, California	0
8	Naysha Lopez	Fabian Rodriguez	31	Chicago, Illinois	0
8	Robbie Turner	Jeremy Baird	33	Seattle, Washington	0
8	Thorgy Thor	Shane Galligan	31	Brooklyn, New York	0
9	Aja	Jay Rivera	22	Brooklyn, New York	0
9	Alexis Michelle	Alex Michaels	32	New York, New York	0
9	Charlie Hides	Charlie Hides	52	Boston, Massachusetts	0
9	Cynthia Lee Fontaine	Carlos Diaz	35	Austin, Texas	0
9	Eureka	David Huggard	25	Johnson City, Tennessee	0
9	Farrah Moan	Cameron Clayton	23	Las Vegas, Nevada	0
9	Jaymes Mansfield	James Wirth	26	Milwaukee, Wisconsin	0
9	Kimora Blac	Von Nguyen	27	Las Vegas, Nevada	0
9	Nina Bo'nina Brown	Pierre Leverne Dease	34	Riverdale, Georgia	0
9	Peppermint	Agnes Moore	37	New York, New York	0
9	Sasha Velour	Alexander Steinberg	29	Brooklyn, New York	1
9	Shea Couleé	Jaren Merrell	27	Chicago, Illinois	0
9	Trinity Taylor	Ryan Taylor	31	Orlando, Florida	0
9	Valentina	James Andrew Leyva	25	Echo Park, California	0
10	Aquaria	Giovanni Palandrani	21	Brooklyn, New York	1
10	Asia O'Hara	Antwan Lee	35	Dallas, Texas	0
10	Blair St. Clair	Andrew Bryson	22	Indianapolis, Indiana	0
10	Dusty Ray Bottoms	Dustin Rayburn	29	New York City, New York	0
10	Eureka	David Huggard	27	Johnson City, Tennessee	0
